mission_name,launch_year,astronaut_name
STS-66 (Atlantis),1994,"['Curtis L. Brown Jr.', 'Ellen L. Ochoa', 'Joseph R. Tanner', 'Jean-FranÃ§ois Clervoy', 'Scott E. Parazynski', 'Donald R. McMonagle']"
STS-67 (Endeavour),1995,"['John M. Grunsfeld', 'Wendy B. Lawrence', 'Tamara E. Jernigan', 'Ronald A. Parise', 'Samuel T. Durrance', 'Stephen S. Oswald', 'William G. Gregory']"
STS-68 (Endeavour),1994,"['Terrence W. Wilcutt', 'Steven L. Smith', 'Peter J. K. Wisoff', 'Thomas D. Jones', 'Daniel W. Bursch', 'Michael A. Baker']"
STS-69 (Endeavour),1995,"['Kenneth D. Cockrell', 'David M. Walker', 'James S. Voss', 'James H. Newman', 'Michael L. Gernhardt']"
STS-7 (Challenger),1983,"['Robert L. Crippen', 'Frederick H. Hauck', 'John M. Fabian', 'Sally Ride', 'Norman E. Thagard']"
STS-70 (Discovery),1995,"['Kevin R. Kregel', 'Mary E. Weber', 'Terence T. Henricks', 'Donald A. Thomas', 'Nancy J. Currie-Gregg']"
STS-71 (Atlantis),1995,"['Ellen S. Baker', 'Robert L. Gibson', 'Charles J. Precourt', 'Gregory J. Harbaugh', 'Bonnie J. Dunbar', 'Anatoly Solovyev', 'Nikolai Budarin']"
STS-72 (Endeavour),1996,"['Brent W. Jett', 'Brian Duffy', 'Leroy Chiao', 'Koichi Wakata', 'Daniel T. Barry', 'Winston E. Scott']"
STS-73 (Columbia),1995,"['Kenneth D. Bowersox', 'Kent V. Rominger', 'Catherine G. Coleman', 'Michael E. LÃ³pez-AlegrÃ\xada', 'Kathryn C. Thornton', 'Frederick W. Leslie', 'Albert Sacco Jr.']"
STS-74 (Atlantis),1995,"['Kenneth D. Cameron', 'James D. Halsell Jr.', 'Chris Hadfield', 'Jerry L. Ross', 'William S. McArthur Jr.']"
STS-75 (Columbia),1996,"['Andrew M. Allen', 'Scott J. Horowitz', 'Jeffrey A. Hoffman', 'Maurizio Cheli', 'Claude Nicollier', 'Franklin R. Chang DÃ\xadaz', 'Umberto Guidoni']"
STS-76 (Atlantis),1996,"['Kevin P. Chilton', 'Richard A. Searfoss', 'Michael R. Clifford', 'Linda M. Godwin', 'Shannon W. Lucid', 'Ronald M. Sega']"
STS-77 (Endeavour),1996,"['Daniel W. Bursch', 'John H. Casper', 'Curtis L. Brown Jr.', 'Andrew S. W. Thomas', 'Mario Runco Jr.', 'Marc Garneau']"
STS-78 (Columbia),1996,"['Charles E. Brady Jr.', 'Terence T. Henricks', 'Richard M. Linnehan', 'Jean-Jacques Favier', 'Robert Thirsk', 'Kevin R. Kregel', 'Susan J. Helms']"
STS-79 (Atlantis),1996,"['Terrence W. Wilcutt', 'Jerome Apt III', 'Thomas D. Akers', 'Carl E. Walz', 'John E. Blaha', 'William F. Readdy']"
STS-8 (Challenger),1983,"['Richard H. Truly', 'Daniel C. Brandenstein', 'Guion S. Bluford Jr.', 'Dale A. Gardner', 'William E. Thornton']"
STS-80 (Columbia),1996,"['Kenneth D. Cockrell', 'Kent V. Rominger', 'F. Story Musgrave', 'Thomas D. Jones', 'Tamara E. Jernigan']"
STS-81 (Atlantis),1997,"['Brent W. Jett', 'Peter J. K. Wisoff', 'John M. Grunsfeld', 'Jerry M. Linenger', 'Marsha S. Ivins', 'Michael A. Baker']"
STS-82 (Discovery),1997,"['Kenneth D. Bowersox', 'Scott J. Horowitz', 'Joseph R. Tanner', 'Steven A. Hawley', 'Gregory J. Harbaugh', 'Mark C. Lee', 'Steven L. Smith']"
STS-83 (Columbia),1997,"['James D. Halsell Jr.', 'Susan L. Kilrain Still', 'Janice E. Voss', 'Michael L. Gernhardt', 'Donald A. Thomas', 'Roger K. Crouch', 'Gregory T. Linteris']"
STS-84 (Atlantis),1997,"['Carlos I. Noriega', 'Charles J. Precourt', 'Eileen M. Collins', 'Jean-FranÃ§ois Clervoy', 'Edward T. Lu', 'Yelena V. Kondakova', 'C. Michael Foale']"
STS-85 (Discovery),1997,"['Curtis L. Brown Jr.', 'Kent V. Rominger', 'N. Jan Davis', 'Robert L. Curbeam Jr.', 'Stephen K. Robinson', 'Bjarni Tryggvason']"
STS-86 (Atlantis),1997,"['James D. Wetherbee', 'Michael J. Bloomfield', 'Vladimir G. Titov', 'Scott E. Parazynski', 'Jean-Loup ChrÃ©tien', 'Wendy B. Lawrence', 'David A. Wolf']"
STS-87 (Columbia),1997,"['Kalpana Chawla', 'Takao Doi', 'Leonid Kadeniuk', 'Kevin R. Kregel', 'Steven W. Lindsey', 'Winston E. Scott']"
STS-88 (Endeavour),1998,"['Robert D. Cabana', 'Frederick W. Sturckow', 'Jerry L. Ross', 'Nancy J. Currie-Gregg', 'James H. Newman', 'Sergei Krikalev']"
STS-89 (Endeavour),1998,"['Terrence W. Wilcutt', 'Joe F. Edwards Jr.', 'James F. Reilly II', 'Michael P. Anderson', 'Bonnie J. Dunbar', 'Salizhan Sharipov', 'Andrew S. W. Thomas']"
STS-9 (Columbia),1983,"['Brewster H. Shaw Jr.', 'Byron K. Lichtenberg', 'Robert A. Parker', 'John W. Young', 'Owen K. Garriott', 'Ulf Merbold']"
STS-90 (Columbia),1998,"['Richard A. Searfoss', 'Scott D. Altman', 'Dafydd Williams', 'Kathryn P. Hire', 'Richard M. Linnehan', 'Jay C. Buckey', 'James A. Pawelczyk']"
STS-91 (Discovery),1998,"['Charles J. Precourt', 'Dominic L. P. Gorie', 'Franklin R. Chang DÃ\xadaz', 'Wendy B. Lawrence', 'Valery Ryumin', 'Janet L. Kavandi']"
STS-92 (Discovery),2000,"['Brian Duffy', 'Pamela A. Melroy', 'Koichi Wakata', 'William S. McArthur Jr.', 'Peter J. K. Wisoff', 'Michael E. LÃ³pez-AlegrÃ\xada', 'Leroy Chiao']"
STS-93 (Columbia),1999,"['Eileen M. Collins', 'Jeffrey S. Ashby', 'Michel Tognini', 'Steven A. Hawley', 'Catherine G. Coleman']"
STS-94 (Columbia),1997,"['James D. Halsell Jr.', 'Susan L. Kilrain Still', 'Janice E. Voss', 'Michael L. Gernhardt', 'Donald A. Thomas', 'Roger K. Crouch', 'Gregory T. Linteris']"
STS-95 (Discovery),1998,"['Curtis L. Brown Jr.', 'Pedro Duque', 'Scott E. Parazynski', 'Stephen K. Robinson', 'Chiaki Mukai', 'John H. Glenn Jr.', 'Steven W. Lindsey']"
STS-96 (Discovery),1999,"['Kent V. Rominger', 'Rick D. Husband', 'Daniel T. Barry', 'Ellen L. Ochoa', 'Tamara E. Jernigan', 'Julie Payette', 'Valeri Tokarev']"
STS-97 (Endeavour),2000,"['Brent W. Jett', 'Carlos I. Noriega', 'Michael J. Bloomfield', 'Joseph R. Tanner', 'Marc Garneau']"
STS-98 (Atlantis),2001,"['Kenneth D. Cockrell', 'Marsha S. Ivins', 'Mark L. Polansky', 'Robert L. Curbeam Jr.', 'Thomas D. Jones']"
STS-99 (Endeavour),2000,"['Janet L. Kavandi', 'Kevin R. Kregel', 'Dominic L. P. Gorie', 'Gerhard Thiele', 'Janice E. Voss', 'Mamoru Mohri']"
Salyut 5 (OPS-3),1976,[nan]
Shenzhou 10,2013,"['Nie Haisheng', 'Zhang Xiaoguang', 'Wang Yaping']"
Shenzhou 11,2016,"['Jing Haipeng', 'Chen Dong']"
Shenzhou 12,2021,"['Nie Haisheng', 'Liu Boming', 'Tang Hongbo']"
Shenzhou 13,2021,"['Zhai Zhigang', 'Wang Yaping', 'Ye Guangfu']"
Shenzhou 2,2001,[nan]
Shenzhou 5,2003,['Yang Liwei']
Shenzhou 6,2005,"['Fei Junlong', 'Nie Haisheng']"
Shenzhou 7,2008,"['Zhai Zhigang', 'Liu Boming', 'Jing Haipeng']"
Shenzhou 9,2012,"['Jing Haipeng', 'Liu Wang', 'Liu Yang']"
Skylab 2,1973,"['Charles Conrad Jr.', 'Joseph P. Kerwin', 'Paul J. Weitz']"
Skylab 3,1973,"['Alan L. Bean', 'Owen K. Garriott', 'Jack R. Lousma']"
Skylab 3 (Apollo CSM-117),1973,[nan]
Skylab 4,1973,"['Gerald P. Carr', 'Edward G. Gibson', 'William R. Pogue']"
Soyuz 1,1967,['Vladimir Komarov']
Soyuz 10,1971,"['Vladimir Shatalov', 'Aleksei Yeliseyev', 'Nikolay Rukavishnikov']"
Soyuz 11,1971,"['Georgy Dobrovolsky', 'Vladislav Volkov', 'Viktor Patsayev']"
Soyuz 12,1973,"['Vasily Lazarev', 'Oleg G. Makarov']"
Soyuz 13,1973,"['Pyotr Klimuk', 'Valentin Lebedev']"
Soyuz 14,1974,"['Pavel Popovich', 'Yury Artyukhin']"
Soyuz 15,1974,"['Gennadi Sarafanov', 'Lev Dyomin']"
Soyuz 16,1974,"['Anatoly Filipchenko', 'Nikolay Rukavishnikov']"
Soyuz 17,1975,"['Aleksei Gubarev', 'Georgy Grechko']"
Soyuz 18,1975,"['Pyotr Klimuk', 'Vitaly Sevastyanov']"
Soyuz 18a,1975,"['Vasily Lazarev', 'Oleg G. Makarov']"
Soyuz 19 (Apollo-Soyuz Test Project),1975,"['Alexei Leonov', 'Valeri Kubasov']"
Soyuz 20,1975,[nan]
Soyuz 21,1976,"['Boris Volynov', 'Vitaly Zholobov']"
Soyuz 22,1976,"['Valery Bykovsky', 'Vladimir Aksyonov']"
Soyuz 23,1976,"['Vyacheslav Zudov', 'Valery Rozhdestvensky']"
Soyuz 24,1977,"['Viktor Gorbatko', 'Yury Glazkov']"
Soyuz 25,1977,"['Vladimir Kovalyonok', 'Valery Ryumin']"
Soyuz 26,1977,"['Yury Romanenko', 'Georgy Grechko']"
Soyuz 27,1978,"['Vladimir Dzhanibekov', 'Oleg G. Makarov']"
Soyuz 28,1978,"['Aleksei Gubarev', 'Vladimir Remek']"
Soyuz 29,1978,"['Vladimir Kovalyonok', 'Aleksandr Ivanchenkov']"
Soyuz 3,1968,['Georgy Beregovoy']
Soyuz 30,1978,"['Pyotr Klimuk', 'Miroslaw Hermaszewski']"
Soyuz 31,1978,"['Valery Bykovsky', 'Sigmund JÃ¤hn']"
Soyuz 32,1979,"['Vladimir Lyakhov', 'Valery Ryumin']"
Soyuz 33,1979,"['Nikolay Rukavishnikov', 'Georgi Ivanov']"
Soyuz 35,1980,"['Leonid Popov', 'Valery Ryumin']"
Soyuz 36,1980,"['Valeri Kubasov', 'Bertalan Farkas']"
Soyuz 37,1980,"['Viktor Gorbatko', 'Pháº¡m TuÃ¢n']"
Soyuz 38,1980,"['Yury Romanenko', 'Arnaldo T. MÃ©ndez']"
Soyuz 39,1981,"['Vladimir Dzhanibekov', 'JÃ¼gderdemidiin GÃ¼rragchaa']"
Soyuz 4,1969,['Vladimir Shatalov']
Soyuz 40,1981,"['Leonid Popov', 'Dumitru D. Prunariu']"
Soyuz 5,1969,"['Boris Volynov', 'Aleksei Yeliseyev', 'Yevgeny Khrunov']"
Soyuz 6,1969,"['Georgy Shonin', 'Valeri Kubasov']"
Soyuz 7,1969,"['Anatoly Filipchenko', 'Vladislav Volkov', 'Viktor Gorbatko']"
Soyuz 8,1969,"['Vladimir Shatalov', 'Aleksei Yeliseyev']"
Soyuz 9,1970,"['Andriyan Nikolayev', 'Vitaly Sevastyanov']"
Soyuz MS-01,2016,"['Anatoli Ivanishin', 'Takuya Å\x8cnishi', 'Kathleen Rubins']"
Soyuz MS-02,2016,"['Sergey N. Ryzhikov', 'Andrei Borisenko', 'Robert S. Kimbrough']"
Soyuz MS-03,2016,"['Peggy A. Whitson', 'Oleg Novitskiy', 'Thomas Pesquet']"
Soyuz MS-04,2017,"['Jack D. Fischer', 'Fyodor Yurchikhin']"
Soyuz MS-05,2017,"['Sergey N. Ryazansky', 'Paolo Nespoli', 'Randolph J. Bresnik']"
Soyuz MS-06,2017,"['Alexander Misurkin', 'Mark Vande Hei', 'Joseph M. Acaba']"
Soyuz MS-07,2017,"['Scott D. Tingle', 'Anton N. Shkaplerov', 'Norishige Kanai']"
Soyuz MS-08,2018,"['Andrew J. Feustel', 'Oleg Artemyev', 'Richard R. Arnold II']"
Soyuz MS-09,2018,"['Serena M. AuÃ±Ã³n-Chancellor', 'Sergey V. Prokopyev', 'Alexander Gerst']"
Soyuz MS-10,2018,"['Nick Hague', 'Aleksey Ovchinin']"
Soyuz MS-11,2018,"['Oleg Kononenko', 'David Saint-Jacques', 'Anne McClain']"
Soyuz MS-12,2019,"['Aleksey Ovchinin', 'Christina H. Koch', 'Nick Hague']"
Soyuz MS-13,2019,"['Andrew R. Morgan', 'Aleksandr A. Skvortsov', 'Luca Parmitano']"
Soyuz MS-14,2019,[nan]
Soyuz MS-15,2019,"['Oleg Skripochka', 'Hazza Al Mansouri', 'Jessica U. Meir']"
Soyuz MS-16,2020,"['Anatoli Ivanishin', 'Ivan V. Vagner', 'Christopher J. Cassidy']"
Soyuz MS-17,2020,"['Sergey N. Ryzhikov', 'Sergey Kud-Sverchkov', 'Kathleen Rubins']"
Soyuz MS-18,2021,"['Mark Vande Hei', 'Oleg Novitskiy', 'Pyotr Dubrov']"
Soyuz MS-19,2021,"['Anton N. Shkaplerov', 'Yulia Peresild', 'Klim Shipenko']"
Soyuz MS-20,2021,"['Alexander Misurkin', 'Yusaku Maezawa', 'Yozo Hirano']"
Soyuz T-10,1984,"['Leonid Kizim', 'Vladimir Solovyov', 'Oleg Atkov']"
Soyuz T-10-1,1983,"['Vladimir G. Titov', 'Gennadi Strekalov']"
Soyuz T-11,1984,"['Yury V. Malyshev', 'Gennadi Strekalov', 'Rakesh Sharma']"
Soyuz T-12,1984,"['Vladimir Dzhanibekov', 'Svetlana Savitskaya', 'Igor Volk']"
Soyuz T-13,1985,"['Vladimir Dzhanibekov', 'Viktor Savinykh']"
Soyuz T-14,1985,"['Vladimir Vasyutin', 'Georgy Grechko', 'Aleksandr A. Volkov']"
Soyuz T-15,1986,"['Leonid Kizim', 'Vladimir Solovyov']"
Soyuz T-2,1980,"['Yury V. Malyshev', 'Vladimir Aksyonov']"
Soyuz T-3,1980,"['Leonid Kizim', 'Oleg G. Makarov', 'Gennadi Strekalov']"
Soyuz T-4,1981,"['Vladimir Kovalyonok', 'Viktor Savinykh']"
Soyuz T-5,1982,"['Anatoly Berezovoy', 'Valentin Lebedev']"
Soyuz T-6,1982,"['Vladimir Dzhanibekov', 'Aleksandr Ivanchenkov', 'Jean-Loup ChrÃ©tien']"
Soyuz T-7,1982,"['Leonid Popov', 'Aleksandr Serebrov', 'Svetlana Savitskaya']"
Soyuz T-8,1983,"['Vladimir G. Titov', 'Gennadi Strekalov', 'Aleksandr Serebrov']"
Soyuz T-9,1983,"['Vladimir Lyakhov', 'Alexander P. Aleksandrov']"
Soyuz TM-10,1990,"['Gennadi Manakov', 'Gennadi Strekalov']"
Soyuz TM-11,1990,"['Viktor M. Afanasyev', 'Musa Manarov', 'Toyohiro Akiyama']"
Soyuz TM-12,1991,"['Anatoly Artsebarsky', 'Sergei Krikalev', 'Helen Sharman']"
Soyuz TM-13,1991,"['Aleksandr A. Volkov', 'Toktar Aubakirov', 'Franz A. ViehbÃ¶ck']"
Soyuz TM-14,1992,"['Aleksandr Viktorenko', 'Aleksandr Kaleri', 'Klaus-Dietrich Flade']"
Soyuz TM-15,1992,"['Anatoly Solovyev', 'Sergei Avdeyev', 'Michel Tognini']"
Soyuz TM-16,1993,"['Gennadi Manakov', 'Aleksandr Poleshchuk']"
Soyuz TM-17,1993,"['Vasily Tsibliyev', 'Aleksandr Serebrov', 'Jean-Pierre HaignerÃ©']"
Soyuz TM-18,1994,"['Viktor M. Afanasyev', 'Yury Usachov', 'Valeri Polyakov']"
Soyuz TM-19,1994,"['Yuri Malenchenko', 'Talgat Musabayev']"
Soyuz TM-2,1987,"['Yury Romanenko', 'Aleksandr Laveykin']"
Soyuz TM-20,1994,"['Aleksandr Viktorenko', 'Yelena V. Kondakova', 'Ulf Merbold']"
Soyuz TM-21,1995,"['Vladimir N. Dezhurov', 'Gennadi Strekalov', 'Norman E. Thagard']"
Soyuz TM-22,1995,"['Yuri Gidzenko', 'Sergei Avdeyev', 'Thomas Reiter']"
Soyuz TM-23,1996,"['Yury Onufriyenko', 'Yury Usachov']"
Soyuz TM-24,1996,"['Valery Korzun', 'Aleksandr Kaleri', 'Claudie HaignerÃ©']"
Soyuz TM-25,1997,"['Vasily Tsibliyev', 'Aleksandr Lazutkin', 'Reinhold Ewald']"
Soyuz TM-26,1997,"['Anatoly Solovyev', 'Pavel Vinogradov']"
Soyuz TM-27,1998,"['Talgat Musabayev', 'Nikolai Budarin', 'LÃ©opold Eyharts']"
Soyuz TM-28,1998,"['Gennady Padalka', 'Sergei Avdeyev', 'Yuri Baturin']"
Soyuz TM-29,1999,"['Viktor M. Afanasyev', 'Jean-Pierre HaignerÃ©', 'Ivan Bella']"
Soyuz TM-3,1987,"['Aleksandr Viktorenko', 'Alexander P. Aleksandrov', 'Muhammed Faris']"
Soyuz TM-30,2000,"['Sergei Zalyotin', 'Aleksandr Kaleri']"
Soyuz TM-31,2000,"['Yuri Gidzenko', 'Sergei Krikalev', 'William M. Shepherd']"
Soyuz TM-32,2001,"['Talgat Musabayev', 'Yuri Baturin', 'Dennis A. Tito']"
Soyuz TM-33,2001,"['Viktor M. Afanasyev', 'Claudie HaignerÃ©', 'Konstantin Kozeyev']"
Soyuz TM-34,2002,"['Yuri Gidzenko', 'Roberto Vittori', 'Mark Shuttleworth']"
Soyuz TM-4,1987,"['Vladimir G. Titov', 'Musa Manarov', 'Anatoli Levchenko']"
Soyuz TM-5,1988,"['Anatoly Solovyev', 'Viktor Savinykh', 'Aleksandr P. Aleksandrov']"
Soyuz TM-6,1988,"['Vladimir Lyakhov', 'Valeri Polyakov', 'Abdul Ahad Mohmand']"
Soyuz TM-7,1988,"['Aleksandr A. Volkov', 'Sergei Krikalev', 'Jean-Loup ChrÃ©tien']"
Soyuz TM-8,1989,"['Aleksandr Viktorenko', 'Aleksandr Serebrov']"
Soyuz TM-9,1990,"['Anatoly Solovyev', 'Aleksandr N. Balandin']"
Soyuz TMA-01M,2010,"['Aleksandr Kaleri', 'Oleg Skripochka', 'Scott J. Kelly']"
Soyuz TMA-02M,2011,"['Michael E. Fossum', 'Sergey A. Volkov', 'Satoshi Furukawa']"
Soyuz TMA-03M,2011,"['Donald R. Pettit', 'Oleg Kononenko', 'AndrÃ© Kuipers']"
Soyuz TMA-04M,2012,"['Gennady Padalka', 'Sergei Revin', 'Joseph M. Acaba']"
Soyuz TMA-05M,2012,"['Yuri Malenchenko', 'Sunita L. Williams', 'Akihiko Hoshide']"
Soyuz TMA-06M,2012,"['Kevin A. Ford', 'Oleg Novitskiy', 'Evgeny Tarelkin']"
Soyuz TMA-07M,2012,"['Roman Romanenko', 'Chris Hadfield', 'Thomas H. Marshburn']"
Soyuz TMA-08M,2013,"['Pavel Vinogradov', 'Alexander Misurkin', 'Christopher J. Cassidy']"
Soyuz TMA-09M,2013,"['Fyodor Yurchikhin', 'Karen L. Nyberg', 'Luca Parmitano']"
Soyuz TMA-1,2002,"['Sergei Zalyotin', 'Frank De Winne', 'Yury V. Lonchakov']"
Soyuz TMA-10,2007,"['Oleg Kotov', 'Fyodor Yurchikhin', 'Charles Simonyi']"
Soyuz TMA-10M,2013,"['Michael S. Hopkins', 'Oleg Kotov', 'Sergey N. Ryazansky']"
Soyuz TMA-11,2007,"['Yuri Malenchenko', 'Sheikh Muszaphar Shukor Al Masrie', 'Peggy A. Whitson']"
Soyuz TMA-11M,2013,"['Mikhail Tyurin', 'Richard A. Mastracchio', 'Koichi Wakata']"
Soyuz TMA-12,2008,"['Sergey A. Volkov', 'Oleg Kononenko', 'Yi So-yeon']"
Soyuz TMA-12M,2014,"['Aleksandr A. Skvortsov', 'Oleg Artemyev', 'Steven R. Swanson']"
Soyuz TMA-13,2008,"['Yury V. Lonchakov', 'E. Michael Fincke', 'Richard A. Garriott']"
Soyuz TMA-13M,2014,"['Gregory R. Wiseman', 'Maksim V. Surayev', 'Alexander Gerst']"
Soyuz TMA-14,2009,"['Michael R. Barratt', 'Gennady Padalka', 'Charles Simonyi']"
Soyuz TMA-14M,2014,"['Aleksandr Samokutyayev', 'Yelena Serova', 'Barry E. Wilmore']"
Soyuz TMA-15,2009,"['Roman Romanenko', 'Frank De Winne', 'Robert Thirsk']"
Soyuz TMA-15M,2014,"['Anton N. Shkaplerov', 'Samantha Cristoforetti', 'Terry W. Virts Jr.']"
Soyuz TMA-16,2009,"['Jeffrey N. Williams', 'Maksim V. Surayev', 'Guy LalibertÃ©']"
Soyuz TMA-16M,2015,"['Gennady Padalka', 'Mikhail B. Korniyenko', 'Scott J. Kelly']"
Soyuz TMA-17,2009,"['Oleg Kotov', 'Timothy J. Creamer', 'SÃ´ichi Noguchi']"
Soyuz TMA-17M,2015,"['Kjell N. Lindgren', 'Oleg Kononenko', 'Kimiya Yui']"
Soyuz TMA-18,2010,"['Aleksandr A. Skvortsov', 'Mikhail B. Korniyenko', 'Tracy E. Caldwell Dyson']"
Soyuz TMA-18M,2015,"['Sergey A. Volkov', 'Andreas E. Mogensen', 'Aidyn A. Aimbetov']"
Soyuz TMA-19,2010,"['Fyodor Yurchikhin', 'Shannon Walker', 'Douglas H. Wheelock']"
Soyuz TMA-19M,2015,"['Yuri Malenchenko', 'Timothy L. Kopra', 'Timothy Peake']"
Soyuz TMA-2,2003,"['Yuri Malenchenko', 'Edward T. Lu']"
Soyuz TMA-20,2010,"['Dmitri Kondratyev', 'Catherine G. Coleman', 'Paolo Nespoli']"
Soyuz TMA-20M,2016,"['Jeffrey N. Williams', 'Aleksey Ovchinin', 'Oleg Skripochka']"
Soyuz TMA-21,2011,"['Ronald J. Garan Jr.', 'Aleksandr Samokutyayev', 'Andrei Borisenko']"
Soyuz TMA-22,2011,"['Anton N. Shkaplerov', 'Anatoli Ivanishin', 'Daniel C. Burbank']"
Soyuz TMA-3,2003,"['Aleksandr Kaleri', 'C. Michael Foale', 'Pedro Duque']"
Soyuz TMA-4,2004,"['Gennady Padalka', 'E. Michael Fincke', 'AndrÃ© Kuipers']"
Soyuz TMA-5,2004,"['Salizhan Sharipov', 'Leroy Chiao', 'Yuri Sharginy']"
Soyuz TMA-6,2005,"['Sergei Krikalev', 'John L. Phillips', 'Roberto Vittori']"
Soyuz TMA-7,2005,"['Valeri Tokarev', 'William S. McArthur Jr.', 'Gregory H. Olsen']"
Soyuz TMA-8,2006,"['Pavel Vinogradov', 'Marcos C. Pontes', 'Jeffrey N. Williams']"
Soyuz TMA-9,2006,"['Mikhail Tyurin', 'Michael E. LÃ³pez-AlegrÃ\xada', 'Anousheh Ansari']"
Space Flyer Unit,1995,[nan]
SpaceX CRS-10,2017,[nan]
SpaceX CRS-11,2017,[nan]
SpaceX CRS-12,2017,[nan]
SpaceX CRS-13,2017,[nan]
SpaceX CRS-15,2018,[nan]
SpaceX CRS-16,2018,[nan]
SpaceX CRS-19,2019,[nan]
SpaceX CRS-4,2014,[nan]
SpaceX CRS-6,2015,[nan]
SpaceX CRS-8,2016,[nan]
SpaceX CRS-9,2016,[nan]
SpaceX Crew Dragon Demo-1,2019,[nan]
SpaceX Crew-1,2020,"['SÃ´ichi Noguchi', 'Shannon Walker', 'Michael S. Hopkins', 'Victor J. Glover']"
SpaceX Crew-2,2021,"['Robert S. Kimbrough', 'K. Megan McArthur', 'Akihiko Hoshide', 'Thomas Pesquet']"
SpaceX Crew-3,2021,"['Raja Chari', 'Thomas H. Marshburn', 'Matthias Maurer', 'Kayla Barron']"
SpaceX DM-2,2020,"['Robert L. Behnken', 'Douglas G. Hurley']"
T-7A (S2),1966,[nan]
The Orbiting Frog Otolith (OFO),1970,[nan]
Unity 22,2021,"['David W. D. Mackay', 'Mike Masucci', 'Beth Moses', 'Colin Bennett', 'Sirisha Bandla', 'Sir Richard Branson']"
VSS Unity VF-01,2019,"['David W. D. Mackay', 'Mike Masucci', 'Beth Moses']"
VSS Unity VF-03,2021,"['Frederick W. Sturckow', 'David W. D. Mackay']"
VSS Unity VP-03,2018,"['Mark P. Stucky', 'Frederick W. Sturckow']"
Veronique AG124,1961,[nan]
Veronique AG136,1962,[nan]
Veronique AG137,1962,[nan]
Vesta 04,1967,[nan]
Vesta 05,1967,[nan]
Voskhod 1,1964,"['Vladimir Komarov', 'Konstantin Feoktistov', 'Boris Yegorov']"
Voskhod 2,1965,"['Pavel Belyayev', 'Alexei Leonov']"
Vostok 1,1961,['Yuri Gagarin']
Vostok 2,1961,['Gherman Titov']
Vostok 3,1962,['Andriyan Nikolayev']
Vostok 4,1962,['Pavel Popovich']
Vostok 5,1963,['Valery Bykovsky']
Vostok 6,1963,['Valentina Tereshkova']
VÃ©ronique AG147,1963,[nan]
X-1 Panther,1970,[nan]
X-15 Flight 138,1965,['Joe H. Engle']
X-15 Flight 143,1965,['Joe H. Engle']
X-15 Flight 150,1965,['John B. McKay']
X-15 Flight 153,1965,['Joe H. Engle']
X-15 Flight 174,1966,['William H. Dana']
X-15 Flight 190,1967,['William J. Knight']
X-15 Flight 191,1967,['Michael J. Adams']
X-15 Flight 197,1968,['William H. Dana']
X-15 Flight 62,1962,['Robert M. White']
X-15 Flight 87,1963,['Robert A. Rushworth']
Zond 5,1968,[nan]
Zond 7,1969,[nan]
Zond 8,1970,[nan]
